symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,SMA_24_months,moving_average_window_months,condition,screening_rule
DHER.DE,,,2017-06-01,26.9,27.8,25.26,27.8,11407039,,24,0,indicator <= close
DHER.DE,,,2017-07-01,28.25,29.8,25.42,27.7,2236473,,24,0,indicator <= close
DHER.DE,,,2017-08-01,28.2,30.79,26.54,30.1,1119287,,24,0,indicator <= close
DHER.DE,,,2017-09-01,30.3,37.0,29.83,33.5,1266841,,24,0,indicator <= close
DHER.DE,,,2017-10-01,33.78,38.4,32.29,36.63,937821,,24,0,indicator <= close
DHER.DE,,,2017-11-01,37.49,39.75,36.33,38.9,1097242,,24,0,indicator <= close
DHER.DE,,,2017-12-01,39.38,39.95,32.22,33.0,4389578,,24,0,indicator <= close
DHER.DE,,,2018-01-01,33.0,35.32,31.4,34.56,5801286,,24,0,indicator <= close
DHER.DE,,,2018-02-01,34.84,36.68,30.4,36.0,5384916,,24,0,indicator <= close
DHER.DE,,,2018-03-01,35.88,40.46,35.3,39.3,8319206,,24,0,indicator <= close
DHER.DE,,,2018-04-01,39.3,41.2,37.28,39.6,5644160,,24,0,indicator <= close
DHER.DE,,,2018-05-01,39.6,40.96,37.78,39.32,16054415,,24,0,indicator <= close
DHER.DE,,,2018-06-01,38.72,46.0,38.72,45.58,11851069,,24,0,indicator <= close
DHER.DE,,,2018-07-01,45.48,52.35,45.3,48.58,7538294,,24,0,indicator <= close
DHER.DE,,,2018-08-01,48.62,49.88,44.48,47.46,7985225,,24,0,indicator <= close
DHER.DE,,,2018-09-01,47.5,47.68,41.16,41.42,7242977,,24,0,indicator <= close
DHER.DE,,,2018-10-01,41.22,41.86,32.84,35.64,8848554,,24,0,indicator <= close
DHER.DE,,,2018-11-01,35.38,39.64,30.24,32.14,7799862,,24,0,indicator <= close
DHER.DE,,,2018-12-01,33.38,34.6,27.48,32.5,6852785,,24,0,indicator <= close
DHER.DE,,,2019-01-01,32.5,34.0,29.0,32.2,7050238,,24,0,indicator <= close
DHER.DE,,,2019-02-01,32.3,36.94,31.26,34.08,6907445,,24,0,indicator <= close
DHER.DE,,,2019-03-01,34.3,35.9,31.5,32.2,6714007,,24,0,indicator <= close
DHER.DE,,,2019-04-01,32.49,41.28,32.37,41.09,9315017,,24,0,indicator <= close
